pair,person,annotation_file,ellipse_index,label,tag,tag_other,total_pixels,overlap_pixels_with_others,overlap_fraction,isolated
93,Sigal,Sigal\SIGAL93.json,1,Appearance,,,17035,13110,0.769592,0
93,Smadar,Smadar\P93 SG.json,0,Appearance,,,51825,45394,0.875909,0
94,Avi,Avi\pair 94 avi.json,0,Appearance,,,15721,15721,1.000000,0
94,Benny,Benny\pairs7\94.json,0,Persistence,,,13061,0,0.000000,1
94,Benny,Benny\pairs7\94.json,1,Appearance,,,32801,23471,0.715557,0
94,Sigal,Sigal\SIGAL94.json,0,Appearance,,,23913,22393,0.936436,0
94,Smadar,Smadar\P94 SG.json,0,Appearance,,,22168,22152,0.999278,0
95,Avi,Avi\pair 95 avi.json,0,Persistence,,,10708,9856,0.920433,0
95,Avi,Avi\pair 95 avi.json,1,Persistence,,,25776,20529,0.796439,0
95,Benny,Benny\pairs7\95.json,0,Persistence,,,17113,9573,0.559399,0
95,Benny,Benny\pairs7\95.json,1,Persistence,,,6599,6599,1.000000,0
95,Benny,Benny\pairs7\95.json,2,Persistence,,,20355,4212,0.206927,0
95,Sigal,Sigal\SIGAL95.json,0,Appearance,,,12865,11291,0.877653,0
95,Sigal,Sigal\SIGAL95.json,1,Persistence,,,26755,14348,0.536274,0
95,Smadar,Smadar\P95 SG.json,0,Persistence,,,19819,11888,0.599828,0
95,Smadar,Smadar\P95 SG.json,1,Persistence,,,12171,12171,1.000000,0
96,Avi,Avi\pair 96 avi.json,0,Appearance,,,13547,13547,1.000000,0
96,Avi,Avi\pair 96 avi.json,1,Appearance,,,14451,14451,1.000000,0
96,Benny,Benny\pairs7\96.json,0,Appearance,,,8972,7800,0.869371,0
96,Benny,Benny\pairs7\96.json,1,Appearance,,,23741,6974,0.293753,0
96,Benny,Benny\pairs7\96.json,2,Appearance,,,50097,44559,0.889454,0
96,Sigal,Sigal\SIGAL96.json,0,Appearance,,,25107,22868,0.910822,0
96,Sigal,Sigal\SIGAL96.json,1,Appearance,,,59167,47413,0.801342,0
96,Smadar,Smadar\P96 SG.json,0,Appearance,,,43023,29665,0.689515,0
96,Smadar,Smadar\P96 SG.json,1,Appearance,,,47259,44219,0.935674,0
97,Benny,Benny\pairs7\97.json,0,Persistence,,,25465,12252,0.481131,0
97,Benny,Benny\pairs7\97.json,1,Persistence,,,20389,10452,0.512629,0
97,Sigal,Sigal\SIGAL97.json,0,Disappearance,,,23925,13906,0.581233,0
97,Sigal,Sigal\SIGAL97.json,1,Persistence,,,18131,10452,0.576471,0
97,Smadar,Smadar\P97 SG.json,0,Disappearance,,,15421,1654,0.107256,0
98,Avi,Avi\pair 98 avi.json,0,Appearance,,,14399,11056,0.767831,0
98,Avi,Avi\pair 98 avi.json,1,Appearance,,,9131,8875,0.971964,0
98,Benny,Benny\pairs7\98.json,0,Appearance,,,22227,14622,0.657849,0
98,Benny,Benny\pairs7\98.json,1,Appearance,,,9635,9406,0.976232,0
98,Benny,Benny\pairs7\98.json,2,Disappearance,,,11425,1144,0.100131,0
98,Benny,Benny\pairs7\98.json,3,Disappearance,,,2873,0,0.000000,1
98,Sigal,Sigal\SIGAL98.json,0,Appearance,,,16159,15620,0.966644,0
98,Sigal,Sigal\SIGAL98.json,1,Persistence,,,11455,10403,0.908162,0
98,Smadar,Smadar\P98 SG.json,0,Persistence,,,9315,8711,0.935158,0
99,Avi,Avi\pair 99 avi.json,0,Disappearance,,,11819,6285,0.531771,0
99,Smadar,Smadar\P99 SG.json,0,Disappearance,,,6773,5329,0.786801,0
99,Smadar,Smadar\P99 SG.json,1,Appearance,,,11987,956,0.079753,0
100,Avi,Avi\pair 100 avi.json,0,Appearance,,,9323,3740,0.401158,0
100,Smadar,Smadar\P100 SG.json,0,Appearance,,,8076,3740,0.463101,0
